Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
324,0.010922,0.004586,0.003050,-0.001660,0.003986,0.000056,0.982601
325,0.010741,0.004532,0.003025,-0.001641,0.003929,0.000055,0.982560
326,0.010627,0.004491,0.003022,-0.001627,0.003885,0.000054,0.982520
327,0.010515,0.004434,0.003023,-0.001607,0.003842,0.000053,0.982480
328,0.010422,0.004392,0.003027,-0.001591,0.003804,0.000053,0.982441
329,0.010258,0.004340,0.003004,-0.001575,0.003753,0.000052,0.982401
330,0.010143,0.004279,0.002994,-0.001554,0.003711,0.000051,0.982362
331,0.010026,0.004256,0.002990,-0.001544,0.003667,0.000051,0.982324
332,0.009904,0.004197,0.002979,-0.001525,0.003625,0.000050,0.982286
333,0.009790,0.004140,0.002965,-0.001507,0.003585,0.000049,0.982248
334,0.009654,0.004083,0.002950,-0.001488,0.003539,0.000049,0.982211
335,0.009513,0.004040,0.002926,-0.001473,0.003492,0.000048,0.982174
336,0.009392,0.004006,0.002914,-0.001459,0.003449,0.000048,0.982137
337,0.009303,0.003953,0.002911,-0.001443,0.003415,0.000047,0.982101
338,0.009241,0.003934,0.002923,-0.001432,0.003383,0.000046,0.982065
339,0.009222,0.003908,0.002944,-0.001420,0.003363,0.000046,0.982030
340,0.009143,0.003863,0.002943,-0.001406,0.003332,0.000045,0.981995
341,0.009074,0.003832,0.002940,-0.001393,0.003303,0.000044,0.981959
342,0.008945,0.003787,0.002916,-0.001379,0.003262,0.000044,0.981925
343,0.008855,0.003745,0.002906,-0.001365,0.003229,0.000043,0.981891
344,0.008768,0.003696,0.002897,-0.001348,0.003195,0.000043,0.981857
345,0.008606,0.003640,0.002856,-0.001331,0.003148,0.000042,0.981823
346,0.008539,0.003623,0.002861,-0.001321,0.003116,0.000042,0.981790
347,0.008540,0.003606,0.002883,-0.001312,0.003102,0.000041,0.981757
348,0.008401,0.003547,0.002850,-0.001295,0.003061,0.000040,0.981725
349,0.008285,0.003508,0.002830,-0.001281,0.003022,0.000040,0.981692
350,0.008142,0.003478,0.002797,-0.001270,0.002977,0.000040,0.981660
351,0.008071,0.003422,0.002788,-0.001252,0.002947,0.000039,0.981629
352,0.007991,0.003393,0.002778,-0.001241,0.002917,0.000038,0.981597
353,0.007894,0.003342,0.002761,-0.001225,0.002883,0.000038,0.981566
