Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
98,23.342541,2.354329,14.532918,-0.545012,6.493424,0.139696,0.483269,-0.020603,0.427976,292.2831,5.0000,153.9273,173.7479,83.7763,5.0000,11.0671,1.0000,1.0000,60.0000,51.1419,44.0783
99,21.894701,1.330631,14.264736,-0.430680,6.414550,0.214812,0.482992,-0.020640,0.428032,289.4088,5.0000,150.0758,173.6864,81.4817,5.0000,10.9633,1.0000,1.0000,59.7640,49.8707,44.6822
100,24.826296,2.183676,13.552393,-0.384312,6.269971,0.189140,0.482724,-0.020662,0.428083,286.9088,5.0000,146.7959,173.5677,79.5796,5.0000,10.7541,1.0000,1.0000,59.3522,48.7940,45.3324
101,23.295031,1.000101,13.093439,-0.662914,6.216143,0.203034,0.482435,-0.020690,0.428139,284.9356,5.0000,144.0253,173.2939,78.0103,5.0000,10.4760,1.0000,1.0000,58.8777,47.9270,46.0024
102,20.035389,1.612327,12.897314,-0.334738,6.338361,0.172689,0.482166,-0.020705,0.428189,283.5321,5.0000,141.6959,172.8023,76.6750,5.0000,10.1666,1.0000,1.0000,58.4195,47.2664,46.6664
103,20.874304,1.759297,13.059510,-0.507526,6.149847,0.132442,0.481932,-0.020690,0.428232,282.6619,5.0000,139.7489,172.0789,75.4958,5.0000,9.8580,1.0000,1.0000,58.0237,46.7926,47.3018
104,23.394781,0.561265,12.369623,-0.537605,6.192701,0.149304,0.481690,-0.020688,0.428277,282.2360,5.0000,138.1386,171.1537,74.4414,5.0000,9.5751,1.0000,1.0000,57.7087,46.4746,47.8892
105,22.752800,1.196195,12.282254,-0.643651,6.003892,0.177339,0.481451,-0.020709,0.428322,282.1148,5.0000,136.8040,170.0857,73.4735,5.0000,9.3347,1.0000,1.0000,57.4699,46.2735,48.4138
106,22.757891,0.549246,12.092145,-0.592494,6.097147,0.195990,0.481216,-0.020729,0.428368,282.1418,5.0000,135.6674,168.9498,72.5372,5.0000,9.1465,1.0000,1.0000,57.2898,46.1511,48.8666
107,21.365017,0.513283,12.205853,-0.564484,6.178934,0.162648,0.480948,-0.020758,0.428416,282.1756,5.0000,134.6574,167.8194,71.5937,5.0000,9.0127,1.0000,1.0000,57.1454,46.0723,49.2444
108,22.378565,1.243798,12.212357,-0.329991,5.971950,0.260881,0.480691,-0.020774,0.428464,282.0985,5.0000,133.6997,166.7542,70.6072,5.0000,8.9305,1.0000,1.0000,57.0133,46.0064,49.5492
109,21.985987,1.455950,12.010931,-0.267443,5.752041,0.177480,0.480477,-0.020781,0.428503,281.8407,5.0000,132.7421,165.7950,69.5776,5.0000,8.8926,1.0000,1.0000,56.8745,45.9294,49.7872
